name,category,revenue_30d,biz_model,gtm_model,source_url,revenue_band
Agent 37,OpenClaw (special),6100,Software / SaaS,PLG / inbound software,https://trustmrr.com/special-category/openclaw,$5k–$10k
EmailSneak.com,Marketing,6100,Services / agency / lead-gen,Sales-led / outbound / SEO,https://trustmrr.com/category/marketing,$5k–$10k
AtomicBot.ai,OpenClaw (special),6000,Software / SaaS,PLG / inbound software,https://trustmrr.com/special-category/openclaw,$5k–$10k
"FeedGuardians, VAT: 44956258",Social Media,6000,Software / SaaS,Creator / content / audience-led,https://trustmrr.com/category/social-media,$5k–$10k
Zero G,Fintech,5900,Commerce / marketplace / transactions,Marketplace / SEO / performance,https://trustmrr.com/category/fintech,$5k–$10k
Bakering App SL,E-commerce,5800,Commerce / marketplace / transactions,Marketplace / SEO / performance,https://trustmrr.com/category/ecommerce,$5k–$10k
ytZolo,Productivity,5800,Software / SaaS,PLG / inbound software,https://trustmrr.com/category/productivity,$5k–$10k
Komposo,Design Tools,5700,Software / SaaS,PLG / inbound software,https://trustmrr.com/category/design-tools,$5k–$10k
Xagio.com - AI SEO,AI,5600,Software / SaaS,PLG / inbound software,https://trustmrr.com/category/ai,$5k–$10k
Yoga Sunrise Poitiers,Health & Fitness,5600,Consumer app / subscription,App-store / paid social / consumer,https://trustmrr.com/category/health-fitness,$5k–$10k
EditMyPodcast,Content Creation,5500,Content / education / media,Creator / content / audience-led,https://trustmrr.com/category/content-creation,$5k–$10k
Aura AI - AI Video & Image Generator,Content Creation,5400,Content / education / media,Creator / content / audience-led,https://trustmrr.com/category/content-creation,$5k–$10k
Barron Tech LLC,Sales,5400,Software / SaaS,Sales-led / outbound / SEO,https://trustmrr.com/category/sales,$5k–$10k
BIDVA - Buy LinkedIn Accounts,Marketing,5300,Services / agency / lead-gen,Sales-led / outbound / SEO,https://trustmrr.com/category/marketing,$5k–$10k
Promethee (Eclipse),Productivity,5300,Software / SaaS,PLG / inbound software,https://trustmrr.com/category/productivity,$5k–$10k
Roboquant AI,No-Code,5300,Software / SaaS,PLG / inbound software,https://trustmrr.com/category/no-code,$5k–$10k
Stealth Company (Global Job Board),Recruiting & HR,5200,Software / SaaS,Sales-led / outbound / SEO,https://trustmrr.com/category/recruiting,$5k–$10k
Easy App Reports by Beyond Analytics,Analytics,5100,Software / SaaS,PLG / inbound software,https://trustmrr.com/category/analytics,$5k–$10k
Nytfire Apps,Real Estate,5100,Commerce / marketplace / transactions,Marketplace / SEO / performance,https://trustmrr.com/category/real-estate,$5k–$10k
ScreenSage Pro,Content Creation,5100,Content / education / media,Creator / content / audience-led,https://trustmrr.com/category/content-creation,$5k–$10k
WRITING9,Education,5100,Content / education / media,Creator / content / audience-led,https://trustmrr.com/category/education,$5k–$10k
PodSpot,Utilities,5000,Software / SaaS,PLG / inbound software,https://trustmrr.com/category/utilities,$5k–$10k
